,"Jan 16","Feb 16","Mar 16","Apr 16","May 16","Jun 16","Jul 16","Aug 16","Sep 16","Oct 16","Nov 16","Dec 16","Jan 17","Feb 17","Mar 17","Apr 17","May 17","Jun 17","Jul 17","Aug 17","Sep 17","Oct 17","Nov 17","Dec 17","Jan 18","Feb 18","Mar 18","Apr 18","May 18","Jun 18","Jul 18","Aug 18","Sep 18","Oct 18","Nov 18","Dec 18","Jan 19","Feb 19","Mar 19","Apr 19","May 19","Jun 19","Jul 19","Aug 19","Sep 19","Oct 19","Nov 19","Dec 19","Jan 20","Feb 20","Mar 20","Apr 20","May 20","TOTAL"
"Ordinary Income/Expense","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Income","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"4560 · Valuation Revenue",1212.75,730.00,2302.50,2700.00,3495.00,6480.00,4710.00,1935.00,1537.50,2805.50,1350.00,2822.95,1837.50,1275.00,937.50,2181.50,4275.06,5774.50,5081.75,3742.00,3472.50,2085.00,1567.50,4952.50,1807.50,1132.50,1800.00,3727.50,3597.00,6432.50,4162.50,4160.00,2257.00,3810.00,2669.50,2415.00,1885.00,1470.00,1771.50,2002.50,3337.50,6771.68,5312.50,4432.00,3052.50,2895.00,2572.50,4455.00,2261.95,2190.00,2638.34,2542.50,1537.50,158362.48
"Total 4500 · ANCILLARY REVENUE",35729.74,36762.87,45463.86,53100.85,72009.10,94524.15,89268.16,87948.70,56597.77,68482.51,43526.07,51446.91,40392.69,34802.46,46030.83,44410.90,69763.47,79883.16,79046.80,66360.36,48525.46,41540.97,40905.60,43846.68,29005.37,32066.17,46085.03,51896.92,56207.19,69827.36,65243.29,71059.11,38114.10,53702.42,40796.79,45255.78,29611.89,39459.71,44621.25,45792.95,71628.41,78146.12,72544.26,65571.05,57945.31,46849.57,44050.18,52233.57,32089.31,38199.62,52419.21,46517.41,53508.56,2840817.98
"4900 · DISCOUNTS & ALLOWANCES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"4910 · Charity Discounts",0.00,0.00,0.00,0.00,-4625.00,0.00,0.00,0.00,-375.00,0.00,0.00,-440.00,0.00,0.00,0.00,-9225.00,-2400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3640.00,0.00,0.00,-1542.50,-7156.25,0.00,0.00,0.00,-6247.50,-7282.50,-7787.50,-5100.00,-7937.50,0.00,-250.00,0.00,-5250.00,-12645.00,-1200.00,-11451.25,-5662.50,-3537.50,-6117.50,-14860.00,-2585.00,-1250.00,0.00,-6917.75,-3030.00,-138515.25
"4915 · Flat Fee Discounts",-1210.53,-3551.54,-3780.52,-2532.25,-12640.97,-17538.46,-10440.41,-5057.29,-4786.58,-14164.40,-16829.26,-19638.55,-6653.56,-10406.61,-8729.75,-8479.67,-7979.77,-27954.59,-4275.22,-5899.32,-20147.89,-6910.51,-12693.37,-5933.75,-9023.00,-12006.08,-6154.95,-12987.42,-351.85,-5515.34,-18136.34,-22443.11,-2672.73,-4312.50,-1269.46,-2021.50,-1295.00,-23289.48,-6513.16,-4545.78,-16007.80,-55207.68,-26838.21,-12042.50,-14898.10,-2277.99,-2179.96,-3975.71,-1038.75,-764.00,-2544.26,-734.22,-1884.01,-511165.66
"4920 · Customer Refunds/Discounts",-0.33,-0.19,-2.26,-404.13,-634.33,-184.41,-56.47,-82.34,-4.48,-26.07,-5.68,-2.39,-3.05,0.00,-451.10,-4.48,-0.90,-94.70,-91.96,-0.24,-50.00,-15.87,0.00,-0.01,0.00,-0.01,0.00,-0.44,0.00,-8.30,-0.01,-27.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.08,0.00,0.00,0.00,0.00,0.00,0.00,-50.00,0.00,0.00,0.00,-537.22,0.00,-2739.81
"Total 4900 · DISCOUNTS & ALLOWANCES",-1210.86,-3551.73,-3782.78,-2936.38,-17900.30,-17722.87,-10496.88,-5139.63,-5166.06,-14190.47,-16834.94,-20080.94,-6656.61,-10406.61,-9180.85,-17709.15,-10380.67,-28049.29,-4367.18,-5899.56,-20197.89,-6926.38,-12693.37,-5933.76,-12663.00,-12006.09,-6154.95,-14530.36,-7508.10,-5523.64,-18136.35,-22470.47,-8920.23,-11595.00,-9056.96,-7121.50,-9232.50,-23289.48,-6763.16,-4545.78,-21258.88,-67852.68,-28038.21,-23493.75,-20560.60,-5815.49,-8297.46,-18885.71,-3623.75,-2014.00,-2544.26,-8189.19,-4914.01,-652420.72
"Total Income",167940.73,145271.42,211001.95,242843.28,356395.27,494421.95,440126.23,434191.80,312505.73,292018.38,234615.38,239703.33,171634.23,180583.91,255456.43,239184.33,361356.06,481908.05,426581.64,362865.83,248392.28,233431.47,195987.87,260239.60,175864.18,160707.96,255351.96,304903.99,370073.07,476469.73,424177.80,436586.61,255786.59,317128.67,269344.93,247819.53,181757.59,233383.15,290189.23,319187.66,394005.06,551534.24,478359.28,495616.87,299042.49,324591.00,273746.53,288249.54,186788.78,223215.54,315482.30,233990.02,287305.62,16059317.07
"Cost of Goods Sold","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"5000 · COST OF SUPPLIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"5030 · Moving Supplies and Equipment",202.72,0.00,0.00,17280.10,0.00,0.00,0.00,0.00,105.00,0.00,0.00,0.00,0.00,0.00,0.00,5280.00,5011.51,12.88,0.00,12.88,0.00,0.00,0.00,433.09,0.00,7.50,0.00,8934.35,32.23,614.79,203.17,0.00,0.00,0.00,0.00,0.00,0.00,57.88,34.08,3800.52,98.63,27.92,0.00,37.60,0.00,0.00,0.00,49.36,0.00,0.00,6310.03,0.00,199.92,48746.16
"5040 · Boxes & Packing Supplies",4254.32,4019.60,4198.10,3790.98,11369.68,10130.72,8052.15,8972.93,8642.40,5774.49,5804.79,4401.42,5246.88,3423.00,8837.75,5416.85,3811.20,14773.74,12521.47,6170.15,4363.22,3979.75,2688.96,4653.35,1587.42,4025.33,6162.29,7946.93,7076.31,11844.50,9225.95,7275.37,4867.41,9051.21,7442.18,4567.02,3727.08,6980.24,4858.54,7199.85,8195.33,9077.90,8419.38,7679.66,6742.19,7805.11,4863.70,2679.98,8378.28,5835.70,6621.10,5171.15,3637.18,344242.19
"5050 · Stretch Wrap",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1306.00,1567.20,1838.40,2358.70,2089.60,3134.40,3656.80,4290.60,2536.40,2864.00,2153.00,1840.80,1896.00,1652.81,3190.31,1537.50,1602.83,39515.35
"5000 · COST OF SUPPLIES - Other",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1632.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1632.04
