,"Jan 16","Feb 16","Mar 16","Apr 16","May 16","Jun 16","Jul 16","Aug 16","Sep 16","Oct 16","Nov 16","Dec 16","Jan 17","Feb 17","Mar 17","Apr 17","May 17","Jun 17","Jul 17","Aug 17","Sep 17","Oct 17","Nov 17","Dec 17","Jan 18","Feb 18","Mar 18","Apr 18","May 18","Jun 18","Jul 18","Aug 18","Sep 18","Oct 18","Nov 18","Dec 18","Jan 19","Feb 19","Mar 19","Apr 19","May 19","Jun 19","Jul 19","Aug 19","Sep 19","Oct 19","Nov 19","Dec 19","Jan 20","Feb 20","Mar 20","Apr 20","May 20","TOTAL"
"Ordinary Income/Expense","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Income","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"6030 · Membership/Networking Fees/Dues - Other",375.00,0.00,0.00,0.00,0.00,0.00,196.50,38.00,22.50,0.00,695.00,525.00,0.00,412.50,275.00,0.00,175.00,35.00,0.00,0.00,0.00,0.00,200.00,1030.00,375.00,0.00,0.00,0.00,302.50,0.00,0.00,0.00,0.00,300.00,0.00,45.00,375.00,0.00,745.00,0.00,0.00,0.00,205.00,0.00,665.00,300.00,0.00,0.00,375.00,35.00,0.00,0.00,775.00,8477.00
"Total 6030 · Membership/Networking Fees/Dues",375.00,0.00,0.00,0.00,0.00,0.00,196.50,38.00,22.50,0.00,695.00,525.00,0.00,412.50,275.00,0.00,175.00,35.00,0.00,0.00,0.00,0.00,200.00,1030.00,375.00,15.00,0.00,0.00,302.50,0.00,0.00,0.00,0.00,300.00,0.00,45.00,375.00,0.00,745.00,0.00,0.00,0.00,205.00,0.00,665.00,300.00,0.00,0.00,375.00,35.00,0.00,0.00,775.00,8492.00
"6040 · Charitable Contrib/Sponsorships",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,891.78,2500.00,0.00,0.00,0.00,0.00,151.89,115.64,0.00,-351.23,0.00,0.00,3.75,720.00,2500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,750.00,2500.00,0.00,0.00,0.00,0.00,640.24,52.00,600.00,104.00,0.00,100.00,0.00,7298.77,38.44,0.00,0.00,61.70,0.00,18676.98
"6045 · Non-Charitable Contrib/Sponsor",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,1450.00,1250.00,1250.00,6250.00,0.00,2312.50,3500.00,5812.50,5312.50,5312.50,4637.50,4562.50,2320.00,2312.50,0.00,0.00,150.00,0.00,0.00,7539.71,7333.33,6833.33,6833.33,6083.33,6083.33,0.00,0.00,250.00,0.00,0.00,0.00,4166.65,8000.00,7666.67,3666.67,6666.66,6666.66,0.00,13.68,0.00,0.00,124285.85
"6050 · Direct Mail",0.00,63.80,49.50,188.10,189.75,292.60,210.10,227.15,187.55,182.60,174.35,190.30,179.30,147.40,160.60,177.10,217.80,215.05,233.75,290.95,201.85,237.50,184.50,192.50,168.50,184.00,195.00,200.00,239.50,273.34,246.00,250.00,100.00,135.50,178.00,125.00,28.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6717.44
"6060 · Newspaper",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,808.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.44,0.00,0.00,0.00,0.00,846.44
"6070 · Magazines",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,470.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,208.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,729.07
"6080 · Radio",0.00,0.00,0.00,0.00,1500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10035.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11535.00
"6100 · Internet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"6100.1 · Pay-per-click advertising",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3100.00,3100.00,3100.00,3100.00,3100.00,3100.00,3100.00,3100.00,3100.00,3100.00,3100.00,3100.00,2655.00,2655.00,2955.00,2655.00,2655.00,3255.00,2655.00,2655.00,2655.00,2655.00,2655.00,2655.00,2049.00,2022.00,2520.00,2549.00,2691.00,2663.00,2715.00,3036.00,2490.00,2751.00,2904.00,2109.00,1763.00,1740.00,3068.00,2500.00,2500.00,112030.00
"6100.3 · Display advertising",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1015.12,2471.77,2187.30,4775.81,-1500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8950.00
"6100.4 · Social media advertising",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,238.61,0.00,0.00,30.26,54.70,25.00,54.79,148.84,50.00,26.05,0.00,0.00,68.56,63.54,48.38,47.50,21.25,52.32,30.09,0.00,20.04,0.00,20.00,0.00,0.00,30.75,7.50,42.50,5.00,0.00,0.00,17.02,0.00,543.74,21.99,20.00,19.99,17.50,39.95,5.06,0.00,11.50,5.00,49.00,25.00,1861.43
"6100.5 · Reputation management",0.00,0.00,225.00,450.00,225.00,0.00,180.00,180.00,180.00,180.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,411.25,225.00,0.00,450.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,225.00,11481.25
"6100 · Internet - Other",3265.00,4306.75,4992.13,2798.73,2825.07,2825.00,2942.82,3062.82,2750.00,2814.69,2775.00,2750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38205.51
"Total 6100 · Internet",3265.00,4306.75,5217.13,3248.73,3050.07,2825.00,3122.82,3242.82,3168.61,2994.69,3000.00,3005.26,3379.70,3350.00,3379.79,3473.84,4390.12,5822.82,5512.30,8100.81,1893.56,3388.54,3373.38,3372.50,2901.25,2932.32,3210.09,2977.50,2900.04,3480.00,2900.00,2880.00,2880.00,2910.75,2887.50,2922.50,2279.00,2247.00,2745.00,2791.02,3102.25,3431.74,2736.99,3506.00,2734.99,2993.50,3168.95,2339.06,1988.00,1976.50,3298.00,2774.00,2750.00,172528.19
"6150 · Trade Shows",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,725.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,290.00,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1032.50
"6200 · TMT Merchandise",167.82,64.20,87.72,3055.90,147.03,40.96,100.82,655.37,0.00,604.73,838.61,269.03,259.96,0.00,1284.88,422.96,0.00,0.00,0.00,0.00,747.03,0.00,0.00,38.03,249.42,0.00,0.00,0.00,0.00,0.00,200.34,0.00,0.00,699.23,0.00,0.00,369.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,207.96,0.00,0.00,0.00,0.00,0.00,0.00,10511.13
"6300 · Uniforms",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-219.50,-37.50,-25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-282.00
"6400 · Print Directories",2750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,314.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,213.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3277.76
"6600 · Other Marketing",553.45,1990.86,3235.06,1241.67,1358.99,883.57,415.36,2724.67,4485.92,2258.38,4505.31,9010.93,196.36,372.50,165.33,185.13,65.74,60.43,25.97,120.69,45.88,64.49,241.25,45.00,0.00,0.00,0.00,176.14,0.00,0.00,50.00,0.00,0.00,6.00,100.13,211.09,640.77,84.50,315.25,77.91,269.14,0.00,623.37,137.78,35.00,290.38,96.86,116.87,487.50,82.45,50.00,104.17,0.00,38208.25
"6610 · Public Relations",2000.00,0.00,0.00,1000.00,2000.00,2000.00,1000.00,1000.00,1000.00,0.00,70.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,126.29,0.00,783.61,94.22,250.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11371.12
"6630 · Signage",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,194.82,0.00,77.37,0.00,0.00,529.00,0.00,0.00,0.00,0.00,0.00,315.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,168.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,103.00,0.00,0.00,1387.88
"6710 · Marketing Coord Wages",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,279.92,81.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,361.78
"6740 · Contract/Professional services",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,401.25,0.00,0.00,53.75,67.19,0.00,0.00,0.00,80.00,9.99,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1666.50,1666.50,0.00,0.00,0.00,0.00,4202.68
"6750 · Customer and referral goodwill",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126.11
"6760 · Nonbranded marketing event supp",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.40,53.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,203.40
"6000 · MARKETING EXPENSE - Other",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350.18,0.00,0.00,0.00,0.00,350.18
"Total 6000 · MARKETING EXPENSE",9543.46,7015.23,8727.34,9312.45,8245.84,6042.13,5045.60,8039.57,9442.63,6983.25,12028.09,13000.52,6204.07,5632.40,8488.79,11483.10,7012.22,9195.72,9183.73,14637.04,8679.78,9511.06,9364.13,13549.89,6070.89,5958.82,3645.93,13388.64,5132.35,3753.34,3512.93,10669.71,10313.33,11131.49,10917.65,11886.92,10025.73,2331.50,3805.25,4280.45,4011.63,3931.43,4378.75,7914.43,11434.99,11350.55,7140.44,18087.86,12201.81,2093.95,3689.91,2939.87,3525.00,425893.59
"7000 · EMPLOYEE COSTS - RR&T","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"7010 · Awards","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"7010.3 · Raffles",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.47,0.00,29.47
"7010 · Awards - Other",71.43,0.00,40.00,0.00,0.00,512.90,54.95,0.00,0.00,0.00,100.00,0.00,0.00,35.00,86.85,88.10,0.00,0.00,0.00,0.00,0.00,0.00,30.00,57.30,321.05,348.03,291.31,0.00,0.00,6.44,161.24,0.00,0.00,340.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.20,50.00,0.00,0.00,178.05,73.06,0.00,548.74,0.00,0.00,0.00,0.00,3404.60
"Total 7010 · Awards",71.43,0.00,40.00,0.00,0.00,512.90,54.95,0.00,0.00,0.00,100.00,0.00,0.00,35.00,86.85,88.10,0.00,0.00,0.00,0.00,0.00,0.00,30.00,57.30,321.05,348.03,291.31,0.00,0.00,6.44,161.24,0.00,0.00,340.95,0.00,0.00,0.00,15.00,0.00,0.00,0.00,9.20,50.00,0.00,0.00,178.05,73.06,0.00,548.74,0.00,0.00,14.47,0.00,3434.07
"7015 · Certifications",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00
"7020 · Recruitment",0.00,0.00,310.00,661.25,547.15,284.48,150.40,280.89,272.90,52.86,0.00,25.00,100.00,50.00,62.50,172.03,245.31,25.00,1025.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,111.00,4.47,443.53,0.00,300.00,300.00,25.00,300.00,600.00,106.55,0.00,0.00,735.50,400.00,729.01,563.84,600.00,721.04,800.00,800.00,800.00,800.00,0.00,1600.00,800.00,800.00,800.00,17404.71
"7021 · Internet Recruiting Ad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"7021.4 · Pay-per-click",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.02
"7021 · Internet Recruiting Ad - Other",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,600.00,0.00,900.00,896.53,783.90,0.00,0.00,0.00,0.00,90.00,316.00,0.00,382.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.74,0.00,122.50,0.00,61.25,183.75,0.00,122.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4474.13
"Total 7021 · Internet Recruiting Ad",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,600.00,0.00,900.00,896.53,783.90,0.00,0.00,0.00,0.00,90.00,316.00,0.00,382.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.74,0.00,122.50,0.00,61.25,189.77,0.00,122.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4480.15
"7025 · Recruiting Materials",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,238.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,238.63
"7027 · Social Media",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
"7030 · Training and Education",0.00,0.00,0.00,0.00,1580.00,0.00,0.00,0.00,0.00,0.00,0.00,1997.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,428.12,615.00,0.00,115.58,1274.76,0.00,0.00,34.67,0.00,0.00,0.00,0.00,370.00,675.00,0.00,0.00,110.21,0.00,0.00,0.00,0.00,0.00,0.00,771.70,389.85,1705.14,0.00,1085.00,0.00,0.00,-1152.20,10000.31
"7035 · Employee Dev Training Expense",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,50.00
"7110 · Training Wages",0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,585.00,705.00,764.50,295.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2409.50
"7140 · Employee Events",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1678.13,988.81,0.00,80.73,0.00,0.00,144.96,450.39,0.00,0.00,0.00,475.00,208.00,10.48,0.00,199.13,31.28,622.21,0.00,0.00,28.18,0.00,169.20,151.89,26.81,202.50,331.64,1041.44,754.71,567.84,37.86,635.29,1424.84,232.76,100.21,585.75,288.44,1093.22,130.16,0.00,0.00,0.00,0.00,12691.86
"7150 · Pre-Employment Assessment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"7150.1 · Drug Screen",0.00,0.00,0.00,0.00,0.00,252.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,252.50,0.00,0.00,252.50,0.00,252.50,18.50,0.00,0.00,530.00,0.00,133.75,0.00,271.00,0.00,530.00,0.00,0.00,74.00,0.00,18.50,74.00,0.00,252.50,0.00,0.00,259.50,79.00,0.00,0.00,0.00,0.00,84.00,0.00,0.00,0.00,0.00,0.00,3334.75
"7150.2 · Background Checks",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,287.50,0.00,0.00,0.00,14.91,0.00,0.00,0.00,0.00,0.00,14.91,0.00,487.72,271.18,0.00,0.00,14.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.83,0.00,251.45,129.45,83.70,46.85,221.35,24.35,144.95,127.95,526.05,33.95,33.95,0.00,0.00,458.00,0.00,3206.97
"7150.3 · Physicals",0.00,0.00,0.00,0.00,0.00,0.00,357.00,0.00,0.00,0.00,0.00,118.00,1710.50,118.50,0.00,474.00,57.96,105.18,0.00,0.00,0.00,929.50,0.00,0.00,0.00,0.00,0.00,0.00,118.50,0.00,0.00,0.00,0.00,300.00,0.00,100.00,329.50,0.00,0.00,100.00,0.00,0.00,18.50,118.50,118.50,0.00,0.00,0.00,0.00,118.50,0.00,89.00,0.00,5281.64
"7150 · Pre-Employment Assessment - Other",45.18,66.00,0.00,36.00,12.00,0.00,12.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.18
"Total 7150 · Pre-Employment Assessment",45.18,66.00,0.00,36.00,12.00,252.50,369.00,0.00,299.50,0.00,0.00,118.00,1725.41,118.50,0.00,743.50,57.96,105.18,267.41,0.00,740.22,1219.18,0.00,0.00,544.92,0.00,133.75,0.00,389.50,0.00,530.00,0.00,0.00,374.00,0.00,118.50,437.33,0.00,503.95,229.45,83.70,306.35,318.85,142.85,263.45,127.95,526.05,117.95,33.95,118.50,0.00,547.00,0.00,12023.54
"7160 · Employee Meeting Food",0.00,0.00,0.00,0.00,190.49,241.66,196.10,43.92,0.00,334.01,0.00,27.13,0.00,81.32,0.00,0.00,11.05,39.43,0.00,0.00,38.91,9.07,0.00,0.00,12.50,0.00,91.03,29.88,115.03,107.06,78.39,32.92,0.00,135.63,82.45,185.24,0.00,0.00,0.00,80.47,0.00,426.28,0.00,0.00,41.68,12.89,26.27,0.00,0.00,68.87,0.00,0.00,20.50,2760.18
"7000 · EMPLOYEE COSTS - RR&T - Other",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,211.78,486.59,72.52,781.35,421.52,-61.89,1911.87
"Total 7000 · EMPLOYEE COSTS - RR&T",116.61,66.00,350.00,697.25,2389.64,1291.54,770.45,324.81,572.40,386.87,1778.13,3156.42,1825.41,365.55,149.35,1588.63,1164.28,1984.50,1587.41,900.00,1675.66,2487.15,666.12,682.78,878.47,662.74,2053.13,1211.19,948.06,531.13,1097.81,332.92,194.20,1302.47,1079.26,1287.79,768.97,1066.44,2119.11,1277.76,973.07,1940.96,2454.94,1286.42,1205.34,2598.84,2103.67,3928.09,1199.44,2994.89,1581.35,1782.99,-393.59,67444.82
"7200 · FACILITY EXPENSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"7220 · Depreciation-Leasehold Improv",3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.07,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.07,3.08,6.16,0.00,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.07,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,163.21
"7230 · Insurance-Property & Gen Liab",155.22,0.00,155.22,155.22,155.22,119.00,655.22,6622.13,10448.13,154.88,0.00,128.13,128.13,128.13,128.13,128.13,128.13,128.13,128.13,0.00,2244.62,0.00,128.13,128.13,128.13,128.13,0.00,128.13,128.13,128.13,128.13,0.00,0.00,128.13,1150.73,128.13,128.13,128.13,128.13,128.13,128.13,128.13,128.13,0.00,128.13,0.00,128.13,128.13,128.13,128.13,128.13,128.13,128.13,26243.88
"7240 · Rent",10626.23,800.00,0.00,0.00,5000.00,6000.00,29000.00,5000.00,5000.00,5000.00,5000.00,5000.00,6000.00,0.00,0.00,0.00,0.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,5625.00,284926.23
"7250 · Repairs & Maint-Building",467.00,117.00,492.00,150.08,117.00,137.00,337.50,421.69,289.03,194.62,140.07,117.00,117.00,117.00,117.00,117.00,117.00,5531.99,117.00,129.90,121.00,709.03,119.13,117.00,117.00,117.00,117.00,130.56,117.00,399.60,5167.00,156.75,822.00,0.00,234.00,455.17,187.47,182.00,354.50,517.00,117.00,5704.50,117.00,117.00,354.50,117.00,329.95,354.50,117.00,5289.50,604.50,117.00,181.30,33004.84
"7255 · Security System",120.75,0.00,0.00,0.00,0.00,0.00,95.00,384.00,384.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,485.89,0.00,0.00,384.00,0.00,0.00,0.00,0.00,146.93,0.00,0.00,0.00,384.00,0.00,0.00,0.00,0.00,350.00,384.00,0.00,0.00,0.00,384.00,502.25,620.50,417.10,206.06,59.13,0.00,350.00,0.00,0.00,0.00,5657.61
"7260 · Telephone",188.84,0.00,0.00,814.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.26,270.33,316.51,390.63,431.23,323.63,317.28,390.01,366.53,1072.63,404.51,626.88,292.94,478.96,293.06,317.07,310.73,330.97,340.03,334.18,0.00,292.90,316.33,292.88,292.96,292.64,292.86,298.69,321.67,894.72,347.11,310.51,302.43,302.68,302.94,302.92,299.61,310.50,324.03,378.97,394.11,15521.49
